ID,Sex,BirthYear
Uts_12_0y_070,1,2012
Uts_12_0y_071,1,2012
Uts_12_0y_072,2,2012
Uts_12_0y_073,2,2012
Uts_12_0y_074,2,2012
Uts_12_0y_075,2,2012
Uts_12_0y_076,2,2012
Uts_12_0y_077,2,2012
Uts_12_0y_078,2,2012
Uts_12_0y_079,1,2012
Uts_12_0y_080,2,2012
Uts_12_0y_081,1,2012
Uts_12_0y_083,1,2012
Uts_12_0y_084,1,2012
Uts_12_0y_085,2,2012
Uts_12_0y_086,2,2012
Uts_12_0y_087,2,2012
Uts_12_0y_088,NA,2012
Uts_12_0y_089,2,2012
Uts_12_0y_090,1,2012
Uts_12_0y_091,2,2012
Uts_12_0y_092,1,2012
Uts_12_0y_093,1,2012
Uts_12_0y_094,2,2012
Uts_12_0y_095,2,2012
Uts_12_0y_096,2,2012
Uts_12_0y_097,2,2012
Uts_12_0y_098,2,2012
Uts_12_0y_099,2,2012
Uts_12_0y_100,2,2012
Uts_12_0y_101,1,2012
Uts_12_0y_102,2,2012
Uts_12_0y_103,2,2012
Uts_12_0y_104,1,2012
Uts_12_0y_105,1,2012
Uts_12_0y_106,2,2012
Uts_12_0y_107,2,2012
Uts_12_0y_108,1,2012
Uts_12_0y_109,2,2012
Uts_12_0y_110,2,2012
Uts_12_0y_111,2,2012
Uts_12_0y_112,2,2012
Uts_12_0y_113,2,2012
Uts_12_0y_114,2,2012
Uts_12_0y_115,2,2012
Uts_12_0y_116,2,2012
Uts_12_0y_117,1,2012
Uts_12_0y_118,1,2012
Uts_12_0y_119,1,2012
Uts_12_0y_120,2,2012
Uts_12_0y_121,1,2012
Uts_12_0y_122,2,2012
Uts_12_0y_123,1,2012
Uts_12_0y_124,1,2012
Uts_12_0y_126,1,2012
Uts_12_0y_127,1,2012
Uts_12_0y_128,1,2012
Uts_12_0y_129,1,2012
Uts_12_0y_130,1,2012
Uts_12_0y_131,1,2012
Uts_12_0y_132,1,2012
Uts_12_0y_133,2,2012
Uts_12_0y_134,2,2012
Uts_12_0y_135,1,2012
Uts_12_0y_136,1,2012
Uts_12_0y_137,1,2012
Uts_12_0y_138,1,2012
Uts_12_0y_139,2,2012
Uts_12_0y_140,1,2012
Uts_12_0y_141,1,2012
Uts_12_0y_142,1,2012
Uts_12_0y_143,2,2012
Uts_12_0y_144,2,2012
Uts_12_0y_145,2,2012
Uts_12_0y_146,2,2012
Uts_12_0y_147,2,2012
Uts_12_0y_148,NA,2012
Uts_12_0y_149,1,2012
Uts_12_0y_150,1,2012
Uts_12_0y_151,1,2012
Uts_12_0y_152,1,2012
Uts_12_0y_153,2,2012
Uts_12_0y_154,2,2012
Uts_12_0y_155,2,2012
Uts_12_0y_156,1,2012
Uts_12_0y_157,2,2012
Uts_12_0y_158,2,2012
Uts_12_0y_159,1,2012
Uts_12_0y_160,2,2012
Uts_12_0y_162,2,2012
Uts_12_0y_163,2,2012
Uts_12_0y_164,2,2012
Uts_12_0y_165,1,2012
Uts_12_0y_166,1,2012
Uts_12_0y_167,2,2012
Uts_12_0y_168,2,2012
Uts_12_0y_169,2,2012
Uts_12_0y_170,1,2012
Uts_12_0y_171,1,2012
Uts_12_0y_172,2,2012
Uts_12_0y_173,2,2012
Uts_12_0y_174,1,2012
Uts_12_0y_175,2,2012
Uts_12_0y_176,1,2012
Uts_12_0y_177,1,2012
Uts_12_0y_178,1,2012
Uts_12_0y_179,1,2012
Uts_12_0y_180,2,2012
Uts_12_0y_181,1,2012
Uts_12_0y_182,1,2012
Uts_12_0y_183,2,2012
Uts_12_0y_184,2,2012
Uts_12_0y_185,2,2012
Uts_12_0y_186,2,2012
Uts_12_0y_187,2,2012
Uts_12_0y_188,1,2012
Uts_12_0y_189,1,2012
Uts_12_0y_190,1,2012
Uts_12_0y_191,1,2012
Uts_12_0y_192,1,2012
Uts_12_0y_193,1,2012
Uts_12_0y_194,1,2012
Uts_12_0y_195,2,2012
Uts_12_0y_196,1,2012
Uts_12_0y_197,1,2012
Uts_12_0y_198,2,2012
Uts_12_0y_199,2,2012
Uts_12_0y_201,2,2012
Uts_12_0y_202,1,2012
Uts_12_0y_203,1,2012
Uts_12_0y_204,2,2012
Uts_12_0y_205,1,2012
Uts_12_0y_206,1,2012
Uts_12_0y_207,2,2012
Uts_12_0y_208,2,2012
Uts_12_0y_209,2,2012
Uts_12_0y_210,1,2012
Uts_12_0y_211,1,2012
Uts_12_0y_212,2,2012
Uts_12_0y_213,1,2012
Uts_12_0y_214,1,2012
Uts_12_0y_215,2,2012
Uts_12_0y_216,1,2012
Uts_12_0y_217,1,2012
Uts_12_0y_218,2,2012
Uts_12_0y_219,2,2012
Uts_12_0y_220,2,2012
Uts_12_0y_221,2,2012
Uts_12_0y_222,1,2012
Uts_12_0y_224,2,2012
Uts_12_0y_225,2,2012
Uts_12_0y_226,1,2012
Uts_12_0y_227,1,2012
Uts_12_0y_228,2,2012
Uts_12_0y_229,2,2012
Uts_12_0y_230,2,2012
Uts_12_0y_231,1,2012
Uts_12_0y_232,2,2012
Uts_12_0y_233,1,2012
Uts_12_0y_234,2,2012
Uts_12_0y_235,2,2012
Uts_12_0y_236,1,2012
Uts_12_0y_237,1,2012
Uts_12_0y_238,1,2012
Uts_12_0y_239,1,2012
Uts_12_0y_240,1,2012
Uts_12_0y_241,2,2012
Uts_12_0y_242,2,2012
Uts_12_0y_243,1,2012
Uts_12_0y_244,2,2012
Uts_12_0y_245,1,2012
Uts_12_0y_246,1,2012
Uts_12_0y_247,2,2012
Uts_12_0y_248,2,2012
Uts_12_0y_249,2,2012
Uts_12_0y_250,2,2012
Uts_12_0y_251,1,2012
Uts_12_0y_252,2,2012
Uts_12_0y_253,1,2012
Uts_12_0y_254,2,2012
Uts_12_0y_255,NA,2012
Uts_12_0y_256,2,2012
Uts_12_0y_257,2,2012
Uts_12_0y_258,1,2012
Uts_12_0y_259,2,2012
Uts_12_0y_260,2,2012
Uts_12_0y_261,1,2012
Uts_12_0y_262,2,2012
Uts_12_0y_263,1,2012
Uts_12_0y_264,1,2012
Uts_12_0y_265,1,2012
Uts_12_0y_266,2,2012
Uts_12_0y_267,2,2012
Uts_12_0y_268,2,2012
Uts_12_0y_269,2,2012
Uts_12_0y_270,1,2012
Uts_12_0y_271,1,2012
Uts_12_0y_272,1,2012
Uts_12_0y_273,1,2012
Uts_12_0y_274,2,2012
Uts_12_0y_275,1,2012
Uts_12_0y_276,2,2012
Uts_12_0y_277,2,2012
Uts_12_0y_278,2,2012
Uts_12_0y_279,1,2012
Uts_12_0y_280,2,2012
Uts_12_0y_282,2,2012
Uts_12_0y_283,2,2012
Uts_12_0y_284,1,2012
