"","ID","year","OffspID.ext","class","class.cor","Code","new_site_code","date","sample.date","box.info","Cap.no","Cap.notes.org","Ext.notes","other.notes","ID.tube","length.cm","scale.reading","scale.age","mature.male.parr","recapture","notes.fi","notes.eng"
"125","Uts_16_3y_0008",2016,"UTS_16_3y_0008","3y","2-3y",16,18,"9/6/2016","9/6/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",3,"3(pencil)","ECG_071","",3,13.5,"2+",2,NA,NA,"",""
"126","Uts_16_3y_0007",2016,"UTS_16_3y_0007","3y","2-3y",16,18,"9/6/2016","","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",7,"7","ECG_071","",NA,NA,"",NA,NA,NA,"",""
"127","Uts_16_3y_0009",2016,"UTS_16_3y_0009","3y","2-3y",16,18,"9/6/2016","","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",9,"9","ECG_071","",NA,NA,"",NA,NA,NA,"",""
"128","Uts_16_1y_0027",2016,"UTS_16_1y_0027","1y","1y",16,18,"9/6/2016","","BOX 31 1+, UTSJOKI2016 SALMON, 2.9.2016, UTSJOEN VANHA UOMA, 1-8, 5.9.2016, HOTELLIN NIVA, 9-26, 6.9.2016, HOTELLIN NIVA, 27-50, 7.9.2016 SILLAN YLÄPUOLI, LÄNSIRANTA 51-81, LO339",27,"27","ECG_67","",NA,NA,"",NA,NA,NA,"",""
"129","Uts_16_1y_0050",2016,"UTS_16_1y_0050","1y","1y",16,18,"9/6/2016","","BOX 31 1+, UTSJOKI2016 SALMON, 2.9.2016, UTSJOEN VANHA UOMA, 1-8, 5.9.2016, HOTELLIN NIVA, 9-26, 6.9.2016, HOTELLIN NIVA, 27-50, 7.9.2016 SILLAN YLÄPUOLI, LÄNSIRANTA 51-81, LO339",50,"50","ECG_67","",NA,NA,"",NA,NA,NA,"",""
"130","Uts_16_0y_0405",2016,"UTS_16_0y_0405","0y","0y",16,18,"9/6/2016","","BOX 5 0+, UTSJOKI 2016 SALMON, 5.9.2016 HOTELLIN NIVA 325-344, 6.9.2016 HOTELLIN NIVA, (YLÄOSA) 345-405, LO313",405,"405","ECG_045","",NA,NA,"",NA,NA,NA,"",""
"131","Uts_16_0y_0406",2016,"UTS_16_0y_0406","0y","0y",16,18,"9/6/2016","","BOX 6 0+, UTSJOKI 2016 SALMON, 6.9.2016 HOTELLIN NIVA, (YLÄOSA) 406-486, LO314",406,"406","ECG_045","",NA,NA,"",NA,NA,NA,"",""
"132","Uts_16_0y_0486",2016,"UTS_16_0y_0486","0y","0y",16,18,"9/6/2016","","BOX 6 0+, UTSJOKI 2016 SALMON, 6.9.2016 HOTELLIN NIVA, (YLÄOSA) 406-486, LO314",486,"486","ECG_046","",NA,NA,"",NA,NA,NA,"",""
"133","Uts_16_0y_0487",2016,"UTS_16_0y_0487","0y","0y",16,18,"9/6/2016","","BOX 7 0+, UTSJOKI 2016 SALMON, 6.9.2016 HOTELLIN NIVA, (YLÄOSA) 487-562, 7.9.2016 SILLAN YLÄPUOLI, LÄNSIRANTA 563-567, LO315",487,"487","ECG_046","",NA,NA,"",NA,NA,NA,"",""
"134","Uts_16_3y_0014",2016,"UTS_16_3y_0014","3y","2-3y",6,6,"9/7/2016","9/7/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",2,"2(pencil)","ECG_071","",2,11.7,"2+",2,NA,NA,"",""
"135","Uts_16_3y_0012",2016,"UTS_16_3y_0012","3y","2-3y",6,6,"9/7/2016","9/7/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",3,"3(pencil)","ECG_071","",3,12.5,"2+",2,NA,NA,"",""
"136","Uts_16_3y_0016",2016,"UTS_16_3y_0016","3y","2-3y",6,6,"9/7/2016","9/7/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",6,"6.(pencil)","ECG_071","",6,12.7,"2+",2,NA,NA,"",""
"137","Uts_16_3y_0013",2016,"UTS_16_3y_0013","3y","2-3y",6,6,"9/7/2016","9/7/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",8,"8(pencil)","ECG_071","",8,12.3,"2+",2,NA,NA,"",""
"138","Uts_16_3y_0011",2016,"UTS_16_3y_0011","3y","2-3y",6,6,"9/7/2016","9/7/2016","BOX 37 3+, UTSJOKI 2016 SALMON, 2.9. UTSJOKI VANHA UOMA, 1-5, 5.9. HOTELLIN NIVA, 6, 6.9. HOTELLIN NIVA, YLÄOSA, 7-9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA, 10-18, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 19-25, 8.9. KYLÄTALON SÄRKÄT, 26, 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA, 27-30, 9.9. HOTELLIN NIVA, VASTARANTA, 31-40, 12.9. POIKKISÄRKKÄ, 41-44, 13.9. VAAHTOKOSTESÄRKKÄ, 45, + Ptec.MALES 46,47,48, LO345",9,"9.(pencil)","ECG_071","",9,11.8,"2+",2,NA,NA,"",""
"139","Uts_16_2y_0010",2016,"UTS_16_2y_0010","2y","2-3y",6,6,"9/7/2016","","BOX 36 2+, UTSJOKI 2016 SALMON, 2.9. UTSJOEN VANHA UOMA, 1-8, 5.9. HOTELLIN NIVA, 9, 7.9. SILLAN YLÄPUOLI, LÄNSIRANTA 10-15, 8.9. KYLÄTALON SÄRKÄT, 20-21, 9.9. HOTELLIN NIVA, VASTARANTA, 16-19, 8.9. SILLAN ALAPUOLI, ITÄRANTA, 22 , 8.9. POIKKISÄRKÄN YLÄPUOLI, LÄNSIRANTA 23-24, 12.9. POIKKISÄRKKÄ, 25-29, 13.9. VAAHTOKOSTESÄRKKÄ, 30-36, LO344",10,"10","ECG_071","",NA,NA,"",NA,NA,NA,"",""
